,context_recall,faithfulness,factual_correctness(mode=f1),answer_relevancy,context_entity_recall,composite_avg
small_250_50,0.6872345908060195,0.8346492591834207,0.578095238095238,0.9486846825952377,0.2613095681156801,0.8235228441948926
medium_500_50,0.7604617604617605,0.8332820412737815,0.5576190476190476,0.9451575217550422,0.19056611485122313,0.8463004411635281
large_1000_100,0.8417748917748918,0.8685615801278355,0.6180952380952381,0.9468082008542259,0.22755633784573115,0.8857148909189845
