,context_recall,faithfulness,factual_correctness(mode=f1),answer_relevancy,context_entity_recall,composite_avg
Naive k=10,0.8259018759018759,0.9061536083732581,0.6047619047619046,0.9478031531890379,0.19062048414709493,0.8932862124880573
BM25 k=10,0.6661306947021233,0.7675606563317776,0.5804761904761905,0.9088729297542845,0.16395303076473425,0.7808547602627285
Rerank (k=20->10),0.8405483405483406,0.8479871412735149,0.5609523809523809,0.9454051245219003,0.27578668856601474,0.8779802021145854
Parent-Child,0.8022057307771594,0.8859297794489701,0.5838095238095237,0.9465192229002962,0.24318987451673663,0.8782182443754752
Ensemble,0.9405483405483405,0.9378441809335554,0.6290476190476192,0.9473318564519397,0.28062556512677833,0.9419081259779452
